text,label
"Government announces new health policy to improve care","REAL"
"Scientists discover water on Mars after years of research","REAL"
"Local team wins championship in stunning upset","REAL"
"Shocking! Celebrity admits to being a time traveler","FAKE"
"Miracle cure reverses aging in 3 days","FAKE"
"Secret plan to control weather exposed","FAKE"
"Election results verified by independent observers","REAL"
"NASA confirms mission success with new satellite","REAL"
"Ancient pyramid found on the moon proves aliens","FAKE"
"Study shows eating only chocolate leads to perfect health","FAKE"
Rav4 GR Sport is less than $30k,FAKE
